TYPE:,REG,,
DATE:,2026-03-10,,
REVISION:,1,,
REASON:,NA,,
Block,Block Interval,SIRMOUR,
,,Availability,Forecast
1,00:00-00:15,5.1,0
2,00:15-00:30,5.1,0
3,00:30-00:45,5.1,0
4,00:45-01:00,5.1,0
5,01:00-01:15,5.1,0
6,01:15-01:30,5.1,0
7,01:30-01:45,5.1,0
8,01:45-02:00,5.1,0
9,02:00-02:15,5.1,0
10,02:15-02:30,5.1,0
11,02:30-02:45,5.1,0
12,02:45-03:00,5.1,0
13,03:00-03:15,5.1,0
14,03:15-03:30,5.1,0
15,03:30-03:45,5.1,0
16,03:45-04:00,5.1,0
17,04:00-04:15,5.1,0
18,04:15-04:30,5.1,0
19,04:30-04:45,5.1,0
20,04:45-05:00,5.1,0
21,05:00-05:15,5.1,0
22,05:15-05:30,5.1,0
23,05:30-05:45,5.1,0
24,05:45-06:00,5.1,0
25,06:00-06:15,5.1,0
26,06:15-06:30,5.1,0
27,06:30-06:45,5.1,0
28,06:45-07:00,5.1,0
29,07:00-07:15,5.1,0
30,07:15-07:30,5.1,0
31,07:30-07:45,5.1,0.615
32,07:45-08:00,5.1,0.797
33,08:00-08:15,5.1,1.174
34,08:15-08:30,5.1,1.419
35,08:30-08:45,5.1,1.636
36,08:45-09:00,5.1,1.862
37,09:00-09:15,5.1,2.096
38,09:15-09:30,5.1,2.322
39,09:30-09:45,5.1,2.538
40,09:45-10:00,5.1,2.745
41,10:00-10:15,5.1,2.933
42,10:15-10:30,5.1,3.113
43,10:30-10:45,5.1,3.265
44,10:45-11:00,5.1,3.417
45,11:00-11:15,5.1,3.524
46,11:15-11:30,5.1,3.605
47,11:30-11:45,5.1,3.676
48,11:45-12:00,5.1,3.729
49,12:00-12:15,5.1,3.773
50,12:15-12:30,5.1,3.791
51,12:30-12:45,5.1,3.8
52,12:45-13:00,5.1,3.8
53,13:00-13:15,5.1,3.773
54,13:15-13:30,5.1,3.719
55,13:30-13:45,5.1,3.656
56,13:45-14:00,5.1,3.575
57,14:00-14:15,5.1,3.477
58,14:15-14:30,5.1,3.369
59,14:30-14:45,5.1,3.244
60,14:45-15:00,5.1,3.11
61,15:00-15:15,5.1,2.966
62,15:15-15:30,5.1,2.805
63,15:30-15:45,5.1,2.625
64,15:45-16:00,5.1,2.427
65,16:00-16:15,5.1,2.22
66,16:15-16:30,5.1,1.986
67,16:30-16:45,5.1,1.724
68,16:45-17:00,5.1,1.48
69,17:00-17:15,5.1,1.217
70,17:15-17:30,5.1,0.964
71,17:30-17:45,5.1,0.719
72,17:45-18:00,5.1,0.473
73,18:00-18:15,5.1,0.217
74,18:15-18:30,5.1,0.07
75,18:30-18:45,5.1,0
76,18:45-19:00,5.1,0
77,19:00-19:15,5.1,0
78,19:15-19:30,5.1,0
79,19:30-19:45,5.1,0
80,19:45-20:00,5.1,0
81,20:00-20:15,5.1,0
82,20:15-20:30,5.1,0
83,20:30-20:45,5.1,0
84,20:45-21:00,5.1,0
85,21:00-21:15,5.1,0
86,21:15-21:30,5.1,0
87,21:30-21:45,5.1,0
88,21:45-22:00,5.1,0
89,22:00-22:15,5.1,0
90,22:15-22:30,5.1,0
91,22:30-22:45,5.1,0
92,22:45-23:00,5.1,0
93,23:00-23:15,5.1,0
94,23:15-23:30,5.1,0
95,23:30-23:45,5.1,0
96,23:45-00:00,5.1,0
